"time","sensor.el_leistung_verbrauch_gesamt.value"
"2022-06-01T12:21:59.130+02:00","325.2529"
"2022-06-01T12:22:09.025+02:00","559.7754"
"2022-06-01T12:22:19.027+02:00","443.5085"
